Count,Vm,CPU1,CPU2,CPU3,CPU4,MEAN,VAR,STATUS
1,5,12.9508593560881,37.9316979995801,42.1463311106446,46.8292567896051,34.9645363139795,228.585263380343,D
2,3,8.07194322552684,35.6116603038259,39.5685114486954,43.9650127207727,31.8042819247052,261.962221283313,D
3,6,0.023621916714965,0.025675996441786,0.026745829664224,0.027860239272486,0.025975995523365,3.25823519854748E-06,F
4,3,6.29061658827751,6.29061658827751,60.5614027646526,63.0847946346415,34.0568576439623,1029.01344090478,D
5,6,14.1108504396654,14.5564562050469,53.65016885137,56.4738619045197,34.6978343501505,554.295126403131,D
6,4,0.833006620678918,0.867715231086057,0.885792631354876,0.903870033644002,0.872596129190963,0.000914452373212,F
7,6,13.6590069347732,13.9377622037713,14.9868410901299,49.0911582145915,22.9186921108165,304.770371374104,D
8,3,2.39631791012836,2.42052313279989,2.44497285258181,2.46966953914099,2.43287085866276,0.0009963951741,F
9,6,1.86892117738768,1.88779916225897,1.90686783377726,1.92612911806958,1.89742932287337,0.00060607269496,F
10,4,26.2379896526238,27.9871889237011,29.1533218362487,74.7260124262708,39.5261282097111,552.116235693042,D
11,5,1.38557072760908,1.39956638646853,1.41370341556841,1.42798324289045,1.40670594313412,0.00033311957002,F
12,0,32.54877014419,104.239017042027,104.239017042027,104.239017042027,86.3164553175677,1284.87287506821,D
13,6,0.210206656899874,0.22602866349617,0.243041573827035,0.261335025808896,0.235152980007994,0.000484433874395,F
14,6,25.6250764296289,28.1594246548604,45.0678022525783,47.4397918076136,36.5730237861703,126.964703363064,D
15,6,0.451629561867637,0.465597486318431,0.479997408428227,0.494842688949229,0.473016786390881,0.000345852830963,F
16,2,3.46717200465232,3.50219393144192,3.53756961493999,3.57330262844531,3.52005954486989,0.002085900185301,F
17,7,1.61226387845959,1.66212770924148,1.71353372034104,1.76652960805626,1.6886137290246,0.004407566365913,F
18,5,4.82994973546973,4.87873708891112,4.9280172437244,4.97779517769941,4.90362481145117,0.004047883178568,F
19,6,20.8956257656214,21.5418822259809,22.2081259993426,56.0129263489852,30.1646400849825,297.235532909437,D
20,2,7.60878241597409,8.18148647468839,8.79729729095424,36.1739136126585,15.1903699485688,195.928466591042,D
21,2,2.3422097255642,2.39000992840599,2.43878564568049,2.48855678584732,2.4148905213745,0.00396641249102,F
22,2,15.547961508885,16.5403845996524,38.6791277151794,41.1480082467751,27.978870517623,191.09605050079,D
23,0,3.56457390261683,3.60057968660621,3.63694916525199,3.67368601223622,3.61894719167781,0.002204743111519,F
24,3,15.0743193417258,16.2089455404244,17.4289737119478,100.672327294344,37.3461414721106,1783.23816508018,D
25,4,0.91100689264164,0.920208979142138,0.929504015977749,0.938892942040411,0.924903207450484,0.000144007819226,F
26,5,11.6733067729084,53.6134431374856,53.6134431374856,59.570492374984,44.6176713557159,490.255278032858,D
27,4,0.292869464118621,0.298846392503061,0.324833035487253,0.353079386570752,0.317407069669922,0.000758083994826,F
28,1,70.1324815768064,77.9249795297848,86.5833105886498,96.2036784318331,82.7111125317685,126.057426057704,D
29,2,0.954309394212066,0.983824117442128,1.01425166715449,1.04562027509574,0.999501363476108,0.001544205198919,F
30,7,13.6446331067842,35.1403740091013,36.227189688974,37.347618224581,30.5899537573601,128.431558139504,D
31,6,0.516916138186206,0.544122250295583,0.597936538933222,0.65707311986823,0.57901201182081,0.003841622432584,F
32,4,29.3256530601176,48.2531469206308,51.3331350707726,54.6097182123378,45.8804133159647,128.540963465495,D
33,6,1.18643916048702,1.19842339010215,1.21052867249794,1.22275623042931,1.20453686337911,0.000244249505902,F
34,7,4.35882369879324,4.4028522050984,4.44732544362982,4.4922479066306,4.42531231353802,0.003296714626964,F
35,4,4.14433320109843,4.18619513750245,4.22847992159619,4.27119182456689,4.20755002119099,0.002980245755958,F
36,5,10.258301655381,10.3619208265898,10.3619208265898,10.3619208265898,10.3360160337876,0.002684233160499,F
37,0,0.210606088370806,0.217119678666082,0.22383472020554,0.230757443439968,0.220579482670599,7.52087648135065E-05,F
38,6,0.841896266262014,0.850400265879541,0.858990164452073,0.86766682964551,0.854738381559784,0.000122987200215,F
39,3,0.177492138499613,0.192926237593323,0.209702432268552,0.227937426489617,0.202014558712776,0.000471681715822,F
40,7,1.00692623119062,1.03806827925902,1.07017348344338,1.10327163207689,1.05460990649248,0.001719182262061,F
41,0,12.1643109540636,13.5159010600707,36.9163448920627,38.8593103822213,25.3639668221046,210.063104737673,D
42,0,1.46988184156711,1.56370408826082,1.57949907334554,1.59545360367652,1.5521346517125,0.003174906603144,F
43,7,2.94204176636539,2.97175934922985,3.00177710959057,3.09688606742951,3.00311607315383,0.004502639911606,F
44,3,3.66223760536964,3.69922989105067,3.73659583604804,3.77433921469692,3.71810063679132,0.002327211121606,F
45,2,7.20553564878686,7.35183715613536,7.35183715613536,7.35183715613536,7.31526177929823,0.005351032763111,F
46,3,6.29920769924532,6.36283603685864,6.42710708472072,6.42710708472072,6.37906447638635,0.003752217178665,F
47,6,2.03487558595906,2.07640366293057,2.11877925175433,2.16201964859217,2.09801953730904,0.002993794868446,F
48,0,10.2381967373705,10.77704918878,10.77704918878,38.3888811607148,17.5452940689113,193.155690593685,D
49,7,16.3116306881915,61.6705771838984,64.9163969847704,68.3330494040614,52.8079135652304,599.390227931312,D
50,0,25.2732240790221,38.4665626825402,42.7406252028224,47.4895835586916,38.4924988807691,91.2480029734369,D
51,4,0.737517180612389,0.768247064211134,0.800257359671211,0.833601417488705,0.78490575549586,0.001710042757495,F
52,6,2.4003652526811,2.44935230312335,2.49933908938012,2.55034601422499,2.47485066485239,0.004165824596645,F
53,2,0.130857506283689,0.134904645611839,0.13907695419628,0.143378303251082,0.137054352335722,2.90351378191726E-05,F
54,7,0.269909297344709,0.275417650854279,0.299367011943594,0.32539892618376,0.292523221581586,0.000643879846302,F
55,2,13.9530938437582,30.5902412446808,33.9891569385342,35.7780599072394,28.5776379835531,99.686158820911,D
56,0,5.48813661585226,5.48813661585226,5.54357231921909,5.59956797898331,5.52985338247673,0.002842970475539,F
57,2,14.7086588004559,14.8572310579013,15.0073040446778,49.7475884783427,23.5801955953444,304.340398419077,D
58,5,0.111841243025577,0.11650129498106,0.121355515774803,0.126411995775348,0.119027512389197,3.93248121344696E-05,F
59,7,14.2314990614946,15.3026871739311,39.8459456339933,44.2732729266592,28.4133511990196,251.751924650273,D
60,7,0.634690316908715,0.654319914137848,0.674556612305994,0.717613418029352,0.670295065345477,0.001260030283521,F
61,4,13.1613459416476,13.7097353750352,32.4457348566479,35.6546536973817,23.7428674676781,143.42096312214,D
62,7,30.6415001037664,32.9478495976985,35.4277952918868,58.3426554279671,39.3399501053297,164.309915397565,D
63,0,0.860000596644801,0.886598552969664,0.914019126492026,0.942287758980621,0.900726508771778,0.001254076752833,F
64,3,1.06832124103572,1.09012371733164,1.112371142164,1.18337355661916,1.11354741428763,0.002490383365037,F
65,7,19.3892951813223,19.5851465770508,46.456890748692,46.9261521018899,33.0893711522387,246.734416732061,D
